Mes,Total_Mensual,Total_Interanual,Subyacente_Mensual,Subyacente_Interanual
Jul.2025,0.231431002364371,1.6888009685144,0.183225247395911,1.68159961117828
Ago.2025,-0.29025398690341,1.10633077531991,0.082874041134324,1.75171294258895
Sep.2025,0.0111517897177685,1.35839342135424,0.0585186478503766,1.81190804113578
Oct.2025,-0.0996274056654658,1.35177475650182,0.0418587153532064,1.77214943570156
Nov.2025,0.110781919406383,1.36861256988846,0.0571063518318149,1.76500146034674
Dic.2025,0.244108583947482,1.50879973918667,0.46436491477139,1.83078207610407
Ene.2026,0.0957671016980487,1.70091694832201,0.0358969185043485,2.02448837702698
Feb.2026,0.693626297343638,2.21416625767848,0.362279527506844,2.19875026978883
Mar.2026,2.37869353004195,3.80454581291585,2.06997751152945,3.65449946867119
Abr.2026,0.5206244057768,4.01414363472928,0.868667799003167,4.40585873023088
May.2026,-0.161296536091238,3.90505240621645,0.0851816091657652,4.44409019158662
